YEAR,MO,DY,Temp_Max,Temp_Min,PRECTOTCORR
2018,12,1,26.94,13.25,0.0
2018,12,2,26.61,14.68,0.0
2018,12,3,26.01,11.83,0.0
2018,12,4,23.4,10.94,0.0
2018,12,5,27.0,13.03,0.0
2018,12,6,28.01,14.45,0.0
2018,12,7,24.94,11.41,0.0
2018,12,8,25.87,10.03,0.0
2018,12,9,27.62,12.87,0.0
2018,12,10,28.44,13.3,0.0
2018,12,11,24.12,14.63,0.0
2018,12,12,23.62,12.04,0.0
2018,12,13,26.58,13.28,0.0
2018,12,14,25.62,13.22,6.0
2018,12,15,22.29,12.38,9.19
2018,12,16,21.6,11.5,0.0
2018,12,17,22.34,9.62,0.0
2018,12,18,24.6,11.05,0.0
2018,12,19,22.21,9.55,0.0
2018,12,20,24.94,10.08,0.0
2018,12,21,23.69,10.26,0.0
2018,12,22,19.84,8.65,0.0
2018,12,23,20.13,7.32,0.0
2018,12,24,21.51,8.24,0.0
2018,12,25,20.68,8.68,0.0
2018,12,26,21.94,7.56,0.0
2018,12,27,23.76,8.01,0.0
2018,12,28,27.2,10.7,0.0
2018,12,29,20.78,9.78,0.0
2018,12,30,21.45,8.6,0.0
2018,12,31,23.01,10.32,0.0
2019,1,1,21.37,9.07,0.0
2019,1,2,26.55,11.97,0.0
2019,1,3,28.71,13.94,0.0
2019,1,4,20.75,10.36,0.0
2019,1,5,23.33,9.29,0.0
2019,1,6,26.91,9.55,0.0
2019,1,7,28.12,13.09,0.0
2019,1,8,23.43,9.8,0.0
2019,1,9,26.7,11.48,0.0
2019,1,10,18.83,7.78,0.0
2019,1,11,19.05,6.42,0.0
2019,1,12,21.37,7.8,0.0
2019,1,13,24.94,8.58,0.0
2019,1,14,27.55,10.74,0.0
2019,1,15,29.05,11.24,0.0
2019,1,16,30.01,12.23,0.0
2019,1,17,22.83,7.88,0.0
2019,1,18,18.4,3.56,0.0
2019,1,19,17.45,4.03,0.0
2019,1,20,17.49,4.21,0.0
2019,1,21,20.63,5.22,0.0
2019,1,22,24.53,8.02,0.0
2019,1,23,26.63,10.38,0.0
2019,1,24,27.9,10.81,0.0
2019,1,25,28.76,13.2,0.0
2019,1,26,29.76,13.74,0.0
2019,1,27,26.9,15.58,0.0
2019,1,28,27.18,13.44,0.0
2019,1,29,26.55,13.87,0.0
2019,1,30,21.37,11.11,0.0
2019,1,31,28.62,13.64,0.0
2019,2,1,30.94,14.77,0.0
2019,2,2,30.66,15.93,0.04
2019,2,3,21.58,11.79,1.77
2019,2,4,20.65,7.77,0.0
2019,2,5,20.91,7.65,0.0
2019,2,6,20.48,6.19,0.0
2019,2,7,21.34,4.8,0.0
2019,2,8,24.69,8.05,0.0
2019,2,9,26.47,9.94,0.0
2019,2,10,28.36,12.92,0.39
2019,2,11,24.0,10.47,1.42
2019,2,12,19.45,7.18,0.0
2019,2,13,20.08,5.87,0.0
2019,2,14,24.56,7.75,0.0
2019,2,15,29.05,13.78,0.12
2019,2,16,25.8,12.64,0.36
2019,2,17,21.06,9.16,0.0
2019,2,18,21.19,7.65,0.0
2019,2,19,19.53,7.16,0.0
2019,2,20,19.2,4.58,0.0
